tempo,danceability,energy,instrumentalness,liveness,valence
156.985,0.831,0.814,0.0134,0.0556,0.389
115.08,0.719,0.493,0,0.118,0.124
218.05,0.85,0.893,4.14E-06,0.372,0.0391
186.948,0.476,0.781,0,0.114,0.175
147.988,0.798,0.624,0,0.166,0.591
144.915,0.721,0.568,0.212,0.128,0.109
130.826,0.718,0.668,0.0078,0.124,0.038
138.049,0.694,0.711,0,0.112,0.283
219.96,0.774,0.751,0,0.0728,0.189
199.942,0.893,0.907,0.0311,0.558,0.302
189.938,0.864,0.365,0,0.116,0.0478
124.514,0.736,0.932,0.0025,0.182,0.18
149.97,0.825,0.761,0.00359,0.334,0.161
139.99,0.767,0.576,2.61E-06,0.0968,0.187
128.014,0.765,0.726,0,0.619,0.27
159.996,0.617,0.541,0,0.369,0.43
199.958,0.755,0.298,0.329,0.101,0.0372
120.004,0.814,0.575,0.000291,0.109,0.288
128.066,0.812,0.813,0.00015,0.0758,0.348
212.15,0.849,0.648,0.00592,0.0984,0.196
114.956,0.602,0.578,0,0.164,0.156
111.958,0.876,0.768,1.21E-05,0.283,0.72
139.973,0.777,0.711,0,0.205,0.293
112.97,0.829,0.59,0.0107,0.114,0.332
118.03,0.783,0.929,0.00414,0.689,0.152
141.52,0.787,0.727,0.0017,0.376,0.21
130.037,0.705,0.648,0.000595,0.373,0.398
125.013,0.69,0.76,0,0.134,0.0797
139.967,0.799,0.966,0,0.658,0.864
121.979,0.936,0.476,0,0.402,0.363
114.771,0.838,0.634,0,0.111,0.224
130.028,0.964,0.51,6.47E-06,0.0549,0.474
120.006,0.83,0.387,0.407,0.0926,0.561
119.999,0.455,0.525,0.734,0.125,0.279
117.962,0.748,0.573,2.59E-06,0.0929,0.193
114.997,0.745,0.688,0.00906,0.077,0.522
199.974,0.722,0.519,0.0114,0.189,0.128
150.029,0.657,0.473,0.026,0.108,0.153
129.999,0.936,0.474,0,0.111,0.168
219.808,0.765,0.62,0.00019,0.16,0.218
209.998,0.65,0.952,0.351,0.337,0.256
190.15,0.386,0.936,0.00192,0.381,0.193
180.218,0.563,0.68,3.28E-05,0.122,0.0396
129.985,0.777,0.902,0,0.275,0.462
121.829,0.607,0.749,7.66E-05,0.234,0.18
115.503,0.628,0.573,0,0.0874,0.0387
191.186,0.468,0.325,0.726,0.109,0.0387
207.992,0.512,0.44,3.11E-06,0.233,0.132
173.993,0.504,0.48,0.000252,0.101,0.878
117.031,0.608,0.662,7.85E-06,0.0409,0.0637
141.037,0.783,0.684,0.000548,0.222,0.173
162.12,0.668,0.479,0.408,0.12,0.102
119.047,0.528,0.617,0.153,0.146,0.0356
120.01,0.796,0.756,0.00679,0.128,0.0292
136.462,0.299,0.381,0.0023,0.0932,0.0392
217.888,0.644,0.64,0,0.146,0.175
143.294,0.473,0.843,2.53E-05,0.102,0.24
110.337,0.471,0.618,0.00664,0.16,0.0392
115.282,0.665,0.446,1.88E-05,0.323,0.117
219.984,0.812,0.707,0,0.587,0.248
199.651,0.262,0.897,0,0.11,0.253
150.017,0.571,0.865,0.207,0.0906,0.177
211.954,0.753,0.679,4.21E-05,0.423,0.19
139.987,0.935,0.429,0,0.102,0.0769
211.95,0.726,0.634,4.43E-06,0.0916,0.318
220.002,0.854,0.98,0.00053,0.548,0.255
112.027,0.526,0.62,0.000241,0.139,0.187
131.999,0.84,0.444,0.000884,0.0623,0.376
192.378,0.818,0.576,0,0.105,0.285
119.994,0.881,0.903,0.00253,0.109,0.272
134.974,0.77,0.623,0,0.117,0.0947
114.972,0.8,0.505,2.05E-05,0.198,0.179
212.022,0.781,0.493,0.586,0.123,0.0383
119.989,0.817,0.911,0.00173,0.42,0.34
120.098,0.814,0.74,2.28E-05,0.12,0.191
150.018,0.678,0.77,0,0.184,0.284
140.055,0.755,0.788,0,0.311,0.465
122.016,0.81,0.524,0.714,0.105,0.155
211.95,0.806,0.702,0.138,0.323,0.182
130.012,0.89,0.74,1.17E-05,0.244,0.436
144.946,0.909,0.573,0.0163,0.657,0.392
129.988,0.735,0.933,0.0108,0.1,0.116
129.763,0.698,0.987,0.000558,0.343,0.266
144.702,0.577,0.692,0.0596,0.0989,0.0658
149.867,0.827,0.771,0,0.109,0.545
159.941,0.68,0.707,0.00638,0.097,0.228
142.018,0.721,0.899,2.51E-05,0.126,0.0385
139.961,0.777,0.812,0.264,0.185,0.452
215.218,0.579,0.813,3.50E-05,0.365,0.312
114.946,0.86,0.524,0.96,0.0993,0.142
130.837,0.425,0.508,0.181,0.244,0.0679
155.01,0.494,0.695,0.0158,0.223,0.0722
219.946,0.649,0.772,0.00305,0.103,0.0294
159.94,0.814,0.758,0.091,0.204,0.82
158.764,0.37,0.856,0.00967,0.18,0.0755
125.033,0.888,0.906,0.000474,0.266,0.477
144.981,0.816,0.62,1.09E-05,0.251,0.265
150.004,0.713,0.839,0.706,0.106,0.0369
219.692,0.449,0.645,0.00846,0.107,0.0589
139.804,0.923,0.94,9.67E-06,0.136,0.839
220.012,0.832,0.802,0.00361,0.139,0.178
157.231,0.569,0.712,3.41E-05,0.144,0.0711
168.298,0.476,0.825,6.51E-05,0.115,0.43
179.998,0.403,0.696,0.265,0.0722,0.0696
120.045,0.836,0.706,0,0.0927,0.0374
120.058,0.818,0.709,0,0.259,0.452
119.975,0.849,0.522,0,0.209,0.0582
180.048,0.703,0.536,0.0112,0.139,0.161
124.863,0.708,0.298,0.772,0.304,0.118
136.07,0.852,0.721,0.000645,0.11,0.803
120.011,0.694,0.514,0.000164,0.115,0.136
124.993,0.595,0.333,0.0268,0.0998,0.105
161.502,0.721,0.803,4.51E-05,0.109,0.175
125.975,0.846,0.616,0.00309,0.101,0.133
218.082,0.76,0.576,3.41E-06,0.194,0.184
120.01,0.529,0.817,3.98E-05,0.178,0.181
139.614,0.559,0.514,0.000109,0.0982,0.0911
129.004,0.965,0.59,0,0.0917,0.462
172.139,0.596,0.881,2.37E-06,0.0798,0.235
208.096,0.712,0.982,0,0.147,0.549
132.999,0.697,0.873,0,0.22,0.545
120.007,0.841,0.516,0,0.0781,0.26
200.092,0.739,0.463,0,0.423,0.0457
200.074,0.865,0.891,0,0.0842,0.671
200.064,0.775,0.634,1.78E-06,0.0628,0.521
139.867,0.739,0.498,0,0.0939,0.231
129.961,0.725,0.578,0.000117,0.387,0.0595
210.134,0.63,0.876,0,0.223,0.256
119.866,0.704,0.838,0,0.102,0.348
207.852,0.735,0.811,0.164,0.528,0.42
119.987,0.864,0.727,0,0.295,0.599
139.958,0.48,0.984,0,0.472,0.393
129.992,0.726,0.823,0,0.707,0.156
219.89,0.755,0.765,0,0.565,0.401
124.972,0.881,0.445,0.0647,0.114,0.0379
219.988,0.849,0.98,0.000787,0.551,0.295
184.04,0.602,0.762,0.00819,0.121,0.112
199.994,0.924,0.543,7.32E-05,0.11,0.104
216.152,0.919,0.493,1.62E-06,0.122,0.159
133.993,0.848,0.663,0,0.108,0.333
206.056,0.475,0.788,0,0.128,0.26
200.094,0.762,0.41,3.43E-05,0.157,0.0813
203.982,0.789,0.623,0,0.0835,0.678
140.036,0.756,0.794,0,0.314,0.474
150.008,0.799,0.546,3.19E-06,0.0836,0.736
119.956,0.931,0.273,0,0.137,0.0603
200.02,0.898,0.547,1.04E-05,0.37,0.763
133.052,0.835,0.559,5.50E-05,0.116,0.267
208.054,0.716,0.745,0,0.103,0.0971
139.972,0.723,0.459,0,0.11,0.313
147.904,0.849,0.736,0,0.0757,0.271
120.054,0.762,0.509,0,0.155,0.0671
123.049,0.756,0.74,0.171,0.646,0.308
131.984,0.727,0.846,0,0.143,0.529
212.026,0.783,0.497,0.6,0.124,0.0381
192.008,0.841,0.576,0,0.105,0.278
119.917,0.685,0.402,0.0206,0.402,0.107
179.968,0.556,0.449,0.0372,0.446,0.484
185.948,0.625,0.45,0.000217,0.117,0.0362
150.023,0.8,0.824,0.000221,0.0527,0.462
170.05,0.734,0.724,0,0.248,0.256
125,0.777,0.742,0,0.0957,0.605
138.034,0.733,0.66,0,0.151,0.259
119.999,0.803,0.789,0,0.378,0.647
160.075,0.649,0.538,0.401,0.0928,0.355
159.95,0.58,0.867,0.182,0.14,0.482
130.015,0.801,0.679,8.85E-06,0.188,0.483
200.238,0.677,0.655,0.276,0.162,0.146
116.914,0.623,0.716,2.54E-06,0.113,0.203
155.862,0.797,0.542,0,0.0838,0.313
120.037,0.85,0.542,0,0.0774,0.595
119.693,0.743,0.411,0,0.292,0.339
113.996,0.876,0.759,0.000675,0.475,0.271
143.026,0.665,0.827,0,0.351,0.12
139.968,0.81,0.585,0.0115,0.0959,0.281
120.16,0.618,0.743,0.0232,0.452,0.249
173.994,0.622,0.859,0,0.0797,0.296
160.028,0.674,0.646,0,0.104,0.222
190.012,0.628,0.53,0,0.0642,0.203
127.947,0.877,0.655,0,0.0948,0.119
119.904,0.585,0.895,0.00423,0.32,0.181
137.989,0.717,0.925,0,0.287,0.412
204.068,0.714,0.853,0,0.116,0.178
130.32,0.473,0.772,0,0.399,0.303
160.123,0.767,0.637,0,0.105,0.536
113.007,0.719,0.704,0,0.0753,0.0808
141.997,0.85,0.458,0,0.122,0.419
206.038,0.672,0.574,2.02E-06,0.18,0.106
189.872,0.758,0.716,9.52E-05,0.0653,0.565
148,0.76,0.774,0.000701,0.199,0.493
193.92,0.508,0.417,0.00207,0.128,0.337
152.11,0.869,0.572,0,0.103,0.658
120.011,0.985,0.525,0,0.116,0.425
149.005,0.738,0.712,0,0.0773,0.358
135.037,0.675,0.574,1.11E-05,0.108,0.482
112.002,0.876,0.726,4.02E-05,0.366,0.775
120.08,0.725,0.554,4.03E-06,0.489,0.231
129.998,0.89,0.422,0,0.0925,0.374
170.096,0.849,0.413,8.58E-05,0.106,0.458
210.438,0.695,0.686,0.0023,0.365,0.354
189.962,0.876,0.519,0,0.108,0.158
163.71,0.463,0.632,0,0.127,0.0894
146.023,0.709,0.362,0.000132,0.107,0.455
146.098,0.771,0.566,1.07E-05,0.109,0.232
192.94,0.136,0.821,0.0291,0.325,0.0362
180,0.476,0.495,0.915,0.506,0.114
115.044,0.499,0.893,1.03E-06,0.0907,0.108
135.017,0.851,0.634,0.882,0.0766,0.0399
120.229,0.241,0.928,0,0.612,0.403
119.922,0.622,0.635,7.88E-06,0.119,0.602
144.933,0.745,0.703,2.54E-06,0.095,0.402
119.989,0.855,0.659,0,0.0957,0.736
218.41,0.549,0.44,0.000779,0.0909,0.132
120.081,0.702,0.567,3.30E-05,0.359,0.195
132.022,0.53,0.732,7.35E-05,0.073,0.458
138.038,0.726,0.549,3.62E-05,0.345,0.0855
124.989,0.708,0.423,0.000113,0.136,0.0712
155.196,0.66,0.604,0.000128,0.196,0.435
117.009,0.447,0.652,0.00371,0.184,0.0367
137.961,0.278,0.47,0.00235,0.148,0.0775
154.996,0.321,0.949,0.217,0.579,0.196